"","PIG_DATE","PIG","DATE","OUA","WEANING_TIME","STALD","STI","GROUP","Newlytreated","BIRTHSOW","WEEK","SAMPLEWEEK","Florkem","Metacam","Zactran","Antibiotic","Treatment_group","Treatment_date","CorrectedGroup","RWA"
"175-2018-05-15","175-2018-05-15",175,"2018-05-15",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"175-2018-05-24","175-2018-05-24",175,"2018-05-24",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"175-2018-05-29","175-2018-05-29",175,"2018-05-29",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"175-2018-06-07","175-2018-06-07",175,"2018-06-07",1,2,"1","81","Untreated","Untreated",8108,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"175-2018-07-05","175-2018-07-05",175,"2018-07-05",1,2,"3","2","Untreated","Untreated",8108,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"18-2018-04-25","18-2018-04-25",18,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",8107,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"18-2018-05-24","18-2018-05-24",18,"2018-05-24",0,3,"1","9","2018-04-20","Treated",8107,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"180-2018-04-25","180-2018-04-25",180,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",8078,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-05-07","180-2018-05-07",180,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",8078,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-05-15","180-2018-05-15",180,"2018-05-15",1,3,"1","7","Untreated","Untreated",8078,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-05-24","180-2018-05-24",180,"2018-05-24",1,3,"1","7","Untreated","Untreated",8078,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-05-29","180-2018-05-29",180,"2018-05-29",1,3,"1","7","Untreated","Untreated",8078,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-06-07","180-2018-06-07",180,"2018-06-07",1,3,"1","7","Untreated","Untreated",8078,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"180-2018-07-05","180-2018-07-05",180,"2018-07-05",1,3,"2","2","Untreated","Untreated",8078,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-04-25","185-2018-04-25",185,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-05-07","185-2018-05-07",185,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8108,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-05-15","185-2018-05-15",185,"2018-05-15",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-05-24","185-2018-05-24",185,"2018-05-24",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-05-29","185-2018-05-29",185,"2018-05-29",1,2,"1","8","Untreated","Untreated",8108,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"185-2018-07-05","185-2018-07-05",185,"2018-07-05",1,2,"3","41","Untreated","Untreated",8108,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"194-2018-05-07","194-2018-05-07",194,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",7887,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"194-2018-05-24","194-2018-05-24",194,"2018-05-24",0,3,"1","8","2018-04-20","Treated",7887,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"194-2018-05-29","194-2018-05-29",194,"2018-05-29",0,3,"1","8","2018-04-20","Treated",7887,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"194-2018-06-07","194-2018-06-07",194,"2018-06-07",0,3,"1","81","2018-04-20","Treated",7887,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"194-2018-07-05","194-2018-07-05",194,"2018-07-05",0,3,"2","11","2018-04-20","Treated",7887,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"196-2018-04-25","196-2018-04-25",196,"2018-04-25",0,3,"Farrow","Farrow","2018-04-25","Newlytreated",NA,"T02","Week 02",0,0,0,"0","0","0","2018-04-25","TTT"
"205-2018-04-25","205-2018-04-25",205,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7622,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-05-07","205-2018-05-07",205,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7622,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-05-15","205-2018-05-15",205,"2018-05-15",1,3,"1","8","Untreated","Untreated",7622,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-05-24","205-2018-05-24",205,"2018-05-24",1,3,"1","8","Untreated","Untreated",7622,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-05-29","205-2018-05-29",205,"2018-05-29",1,3,"1","8","Untreated","Untreated",7622,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-06-07","205-2018-06-07",205,"2018-06-07",1,3,"1","8","Untreated","Untreated",7622,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"205-2018-07-05","205-2018-07-05",205,"2018-07-05",1,3,"3","3","Untreated","Untreated",7622,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"206-2018-05-07","206-2018-05-07",206,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7622,"T03","Week 04",0,0,0,"0","0","0","2018-05-03","TTT"
"206-2018-05-15","206-2018-05-15",206,"2018-05-15",0,3,"1","8","2018-05-03","Treated",7622,"T03","Week 05",0,0,0,"0","0","0","2018-05-03","TTT"
"206-2018-05-24","206-2018-05-24",206,"2018-05-24",0,3,"1","8","2018-05-03","Treated",7622,"T03","Week 06",0,0,0,"0","0","0","2018-05-03","TTT"
"206-2018-05-29","206-2018-05-29",206,"2018-05-29",0,3,"1","81","2018-05-03","Treated",7622,"T03","Week 07",0,0,0,"0","0","0","2018-05-03","TTT"
"206-2018-06-07","206-2018-06-07",206,"2018-06-07",0,3,"1","81","2018-05-03","Treated",7622,"T03","Week 08",0,0,0,"0","0","0","2018-05-03","TTT"
"206-2018-07-05","206-2018-07-05",206,"2018-07-05",0,3,"3","11","2018-05-03","Treated",7622,"T03","Week 14",0,0,0,"0","0","0","2018-05-03","TTT"
"22-2018-05-07","22-2018-05-07",22,"2018-05-07",0,3,"Farrow","Farrow","2018-05-03","Treated",7098,"T02","Week 04",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"22-2018-05-24","22-2018-05-24",22,"2018-05-24",0,3,"1","5","2018-05-03","Treated",7098,"T02","Week 06",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"22-2018-05-29","22-2018-05-29",22,"2018-05-29",0,3,"1","8","2018-05-03","Treated",7098,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"22-2018-06-07","22-2018-06-07",22,"2018-06-07",0,3,"1","8","2018-05-03","Treated",7098,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"22-2018-07-05","22-2018-07-05",22,"2018-07-05",0,3,"3","2","2018-05-03","Treated",7098,"T02","Week 14",1,1,0,"Florkem","T02","2018-04-30","2018-04-30","TTT"
"221-2018-04-25","221-2018-04-25",221,"2018-04-25",0,2,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-05-07","221-2018-05-07",221,"2018-05-07",0,2,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-05-15","221-2018-05-15",221,"2018-05-15",0,2,"8","1","2018-04-20","Treated",7653,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-05-24","221-2018-05-24",221,"2018-05-24",0,2,"1","12","2018-04-20","Treated",7653,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-05-29","221-2018-05-29",221,"2018-05-29",0,2,"1","21","2018-04-20","Treated",7653,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-06-07","221-2018-06-07",221,"2018-06-07",0,2,"1","21","2018-04-20","Treated",7653,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"221-2018-07-05","221-2018-07-05",221,"2018-07-05",0,2,"2","5","2018-04-20","Treated",7653,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"222-2018-04-25","222-2018-04-25",222,"2018-04-25",0,2,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 02",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"222-2018-05-07","222-2018-05-07",222,"2018-05-07",0,2,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 04",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"222-2018-05-15","222-2018-05-15",222,"2018-05-15",0,2,"8","1","2018-04-20","Treated",7653,"T01","Week 05",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"225-2018-04-25","225-2018-04-25",225,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7797,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-05-07","225-2018-05-07",225,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7797,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-05-15","225-2018-05-15",225,"2018-05-15",1,2,"1","2","Untreated","Untreated",7797,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-05-24","225-2018-05-24",225,"2018-05-24",1,2,"1","2","Untreated","Untreated",7797,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-05-29","225-2018-05-29",225,"2018-05-29",1,2,"1","2","Untreated","Untreated",7797,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-06-07","225-2018-06-07",225,"2018-06-07",1,2,"1","21","Untreated","Untreated",7797,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"225-2018-07-05","225-2018-07-05",225,"2018-07-05",1,2,"3","5","Untreated","Untreated",7797,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"226-2018-05-07","226-2018-05-07",226,"2018-05-07",0,2,"Farrow","Farrow","2018-05-03","Treated",1,"T02","Week 04",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"226-2018-05-15","226-2018-05-15",226,"2018-05-15",0,2,"8","1","2018-05-03","Treated",1,"T02","Week 05",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"226-2018-05-24","226-2018-05-24",226,"2018-05-24",0,2,"1","17","2018-05-03","Treated",1,"T02","Week 06",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"226-2018-05-29","226-2018-05-29",226,"2018-05-29",0,2,"1","71","2018-05-03","Treated",1,"T02","Week 07",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"226-2018-06-07","226-2018-06-07",226,"2018-06-07",0,2,"1","71","2018-05-03","Treated",1,"T02","Week 08",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"226-2018-07-05","226-2018-07-05",226,"2018-07-05",0,2,"1","31","2018-05-03","Treated",1,"T02","Week 14",0,1,1,"Zactran","T02","2018-05-02","2018-05-02","TTT"
"230-2018-04-25","230-2018-04-25",230,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7673,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-05-07","230-2018-05-07",230,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7673,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-05-15","230-2018-05-15",230,"2018-05-15",1,2,"1","2","Untreated","Untreated",7673,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-05-24","230-2018-05-24",230,"2018-05-24",1,2,"1","2","Untreated","Untreated",7673,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-05-29","230-2018-05-29",230,"2018-05-29",1,2,"1","2","Untreated","Untreated",7673,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-06-07","230-2018-06-07",230,"2018-06-07",1,2,"1","2","Untreated","Untreated",7673,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"230-2018-07-05","230-2018-07-05",230,"2018-07-05",1,2,"1","61","Untreated","Untreated",7673,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"235-2018-04-25","235-2018-04-25",235,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-05-07","235-2018-05-07",235,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-05-15","235-2018-05-15",235,"2018-05-15",0,3,"1","6","2018-04-20","Treated",7653,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-05-24","235-2018-05-24",235,"2018-05-24",0,3,"1","6","2018-04-20","Treated",7653,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-05-29","235-2018-05-29",235,"2018-05-29",0,3,"1","6","2018-04-20","Treated",7653,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-06-07","235-2018-06-07",235,"2018-06-07",0,3,"1","61","2018-04-20","Treated",7653,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"235-2018-07-05","235-2018-07-05",235,"2018-07-05",0,3,"2","3","2018-04-20","Treated",7653,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"240-2018-04-25","240-2018-04-25",240,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7427,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-05-07","240-2018-05-07",240,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7427,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-05-15","240-2018-05-15",240,"2018-05-15",1,3,"1","7","Untreated","Untreated",7427,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-05-24","240-2018-05-24",240,"2018-05-24",1,3,"1","7","Untreated","Untreated",7427,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-05-29","240-2018-05-29",240,"2018-05-29",1,3,"1","7","Untreated","Untreated",7427,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-06-07","240-2018-06-07",240,"2018-06-07",1,3,"1","7","Untreated","Untreated",7427,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"240-2018-07-05","240-2018-07-05",240,"2018-07-05",1,3,"2","4","Untreated","Untreated",7427,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"241-2018-04-25","241-2018-04-25",241,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 02",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-05-07","241-2018-05-07",241,"2018-05-07",0,3,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 04",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-05-15","241-2018-05-15",241,"2018-05-15",0,3,"1","7","2018-04-20","Treated",7653,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-05-24","241-2018-05-24",241,"2018-05-24",0,3,"1","7","2018-04-20","Treated",7653,"T01","Week 06",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-05-29","241-2018-05-29",241,"2018-05-29",0,3,"1","7","2018-04-20","Treated",7653,"T01","Week 07",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-06-07","241-2018-06-07",241,"2018-06-07",0,3,"1","7","2018-04-20","Treated",7653,"T01","Week 08",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"241-2018-07-05","241-2018-07-05",241,"2018-07-05",0,3,"2","1","2018-04-20","Treated",7653,"T01","Week 14",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"242-2018-05-15","242-2018-05-15",242,"2018-05-15",0,3,"1","1","2018-05-07","Treated",NA,"T04","Week 05",0,0,0,"0","0","0","2018-05-07","TTT"
"242-2018-05-24","242-2018-05-24",242,"2018-05-24",0,3,"1","1","2018-05-07","Treated",NA,"T04","Week 06",0,0,0,"0","0","0","2018-05-07","TTT"
"242-2018-05-29","242-2018-05-29",242,"2018-05-29",0,3,"1","1","2018-05-07","Treated",NA,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"242-2018-06-07","242-2018-06-07",242,"2018-06-07",0,3,"1","1","2018-05-07","Treated",NA,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"242-2018-07-05","242-2018-07-05",242,"2018-07-05",0,3,"1","5","2018-05-07","Treated",NA,"T04","Week 14",0,0,0,"0","0","0","2018-05-07","TTT"
"245-2018-04-25","245-2018-04-25",245,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8106,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-05-07","245-2018-05-07",245,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8106,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-05-15","245-2018-05-15",245,"2018-05-15",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-05-24","245-2018-05-24",245,"2018-05-24",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-05-29","245-2018-05-29",245,"2018-05-29",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-06-07","245-2018-06-07",245,"2018-06-07",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"245-2018-07-05","245-2018-07-05",245,"2018-07-05",1,2,"1","61","Untreated","Untreated",8106,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"248-2018-04-25","248-2018-04-25",248,"2018-04-25",0,3,"Farrow","Farrow","2018-04-20","Treated",7653,"T01","Week 02",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"248-2018-05-15","248-2018-05-15",248,"2018-05-15",0,3,"1","1","2018-04-20","Treated",7653,"T01","Week 05",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"248-2018-05-24","248-2018-05-24",248,"2018-05-24",0,3,"1","1","2018-04-20","Treated",7653,"T01","Week 06",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"248-2018-05-29","248-2018-05-29",248,"2018-05-29",0,3,"1","1","2018-04-20","Treated",7653,"T01","Week 07",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"248-2018-06-07","248-2018-06-07",248,"2018-06-07",0,3,"1","1","2018-04-20","Treated",7653,"T01","Week 08",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"248-2018-07-05","248-2018-07-05",248,"2018-07-05",0,3,"1","31","2018-04-20","Treated",7653,"T01","Week 14",1,1,0,"Florkem_early","T02","2018-04-30","2018-04-20","TTT"
"250-2018-04-25","250-2018-04-25",250,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",7673,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"250-2018-05-07","250-2018-05-07",250,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",7673,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"250-2018-05-15","250-2018-05-15",250,"2018-05-15",1,2,"1","8","Untreated","Untreated",7673,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"250-2018-05-24","250-2018-05-24",250,"2018-05-24",1,2,"1","8","Untreated","Untreated",7673,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"250-2018-05-29","250-2018-05-29",250,"2018-05-29",1,2,"1","8","Untreated","Untreated",7673,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"250-2018-06-07","250-2018-06-07",250,"2018-06-07",1,2,"1","81","Untreated","Untreated",7673,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"252-2018-05-15","252-2018-05-15",252,"2018-05-15",0,3,"1","8","2018-04-20","Treated",NA,"T01","Week 05",0,0,0,"Florkem_early","0","0","2018-04-20","TTT"
"254-2018-04-25","254-2018-04-25",254,"2018-04-25",0,1,"Farrow","Farrow","2018-04-25","Newlytreated",7673,"T02","Week 02",0,0,0,"0","0","0","2018-04-25","TTT"
"254-2018-05-07","254-2018-05-07",254,"2018-05-07",0,1,"Farrow","Farrow","2018-04-25","Treated",7673,"T02","Week 04",0,0,0,"0","0","0","2018-04-25","TTT"
"254-2018-05-24","254-2018-05-24",254,"2018-05-24",0,1,"1","17","2018-04-25","Treated",7673,"T02","Week 06",0,0,0,"0","0","0","2018-04-25","TTT"
"254-2018-05-29","254-2018-05-29",254,"2018-05-29",0,1,"1","71","2018-04-25","Treated",7673,"T02","Week 07",0,0,0,"0","0","0","2018-04-25","TTT"
"254-2018-06-07","254-2018-06-07",254,"2018-06-07",0,1,"1","71","2018-04-25","Treated",7673,"T02","Week 08",0,0,0,"0","0","0","2018-04-25","TTT"
"260-2018-04-25","260-2018-04-25",260,"2018-04-25",1,2,"Farrow","Farrow","Untreated","Untreated",8106,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"260-2018-05-07","260-2018-05-07",260,"2018-05-07",1,2,"Farrow","Farrow","Untreated","Untreated",8106,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"260-2018-05-15","260-2018-05-15",260,"2018-05-15",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"260-2018-05-24","260-2018-05-24",260,"2018-05-24",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"260-2018-05-29","260-2018-05-29",260,"2018-05-29",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"260-2018-06-07","260-2018-06-07",260,"2018-06-07",1,2,"1","2","Untreated","Untreated",8106,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-04-25","265-2018-04-25",265,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-05-07","265-2018-05-07",265,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-05-15","265-2018-05-15",265,"2018-05-15",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-05-24","265-2018-05-24",265,"2018-05-24",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-06-07","265-2018-06-07",265,"2018-06-07",1,3,"1","7","Untreated","Untreated",7439,"UT","Week 08",0,0,0,"0","0","0","Untreated","UUU"
"265-2018-07-05","265-2018-07-05",265,"2018-07-05",1,3,"2","11","Untreated","Untreated",7439,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"269-2018-05-24","269-2018-05-24",269,"2018-05-24",0,3,"1","6","2018-05-03","Treated",NA,"T02","Week 06",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"269-2018-05-29","269-2018-05-29",269,"2018-05-29",0,3,"1","6","2018-05-03","Treated",NA,"T02","Week 07",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"269-2018-06-07","269-2018-06-07",269,"2018-06-07",0,3,"1","61","2018-05-03","Treated",NA,"T02","Week 08",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"269-2018-07-05","269-2018-07-05",269,"2018-07-05",0,3,"2","3","2018-05-03","Treated",NA,"T02","Week 14",1,1,0,"Florkem","T02","2018-04-26","2018-04-26","TTT"
"27-2018-05-24","27-2018-05-24",27,"2018-05-24",0,3,"1","17","2018-05-07","Treated",NA,"T04","Week 06",0,0,0,"0","0","0","2018-05-07","TTT"
"27-2018-05-29","27-2018-05-29",27,"2018-05-29",0,3,"1","71","2018-05-07","Treated",NA,"T04","Week 07",0,0,0,"0","0","0","2018-05-07","TTT"
"27-2018-06-07","27-2018-06-07",27,"2018-06-07",0,3,"1","71","2018-05-07","Treated",NA,"T04","Week 08",0,0,0,"0","0","0","2018-05-07","TTT"
"27-2018-07-05","27-2018-07-05",27,"2018-07-05",0,3,"2","31","2018-05-07","Treated",NA,"T04","Week 14",0,0,0,"0","0","0","2018-05-07","TTT"
"270-2018-04-25","270-2018-04-25",270,"2018-04-25",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 02",0,0,0,"0","0","0","Untreated","UUU"
"270-2018-05-07","270-2018-05-07",270,"2018-05-07",1,3,"Farrow","Farrow","Untreated","Untreated",7439,"UT","Week 04",0,0,0,"0","0","0","Untreated","UUU"
"270-2018-05-15","270-2018-05-15",270,"2018-05-15",1,3,"1","6","Untreated","Untreated",7439,"UT","Week 05",0,0,0,"0","0","0","Untreated","UUU"
"270-2018-05-24","270-2018-05-24",270,"2018-05-24",1,3,"1","6","Untreated","Untreated",7439,"UT","Week 06",0,0,0,"0","0","0","Untreated","UUU"
"270-2018-05-29","270-2018-05-29",270,"2018-05-29",1,3,"1","6","Untreated","Untreated",7439,"UT","Week 07",0,0,0,"0","0","0","Untreated","UUU"
"270-2018-07-05","270-2018-07-05",270,"2018-07-05",1,3,"2","1","Untreated","Untreated",7439,"UT","Week 14",0,0,0,"0","0","0","Untreated","UUU"
"273-2018-05-07","273-2018-05-07",273,"2018-05-07",0,1,"Farrow","Farrow","2018-05-03","Treated",1,"T03","Week 04",0,0,0,"0","0","0","2018-05-03","TTT"
"273-2018-05-15","273-2018-05-15",273,"2018-05-15",0,1,"8","1","2018-05-03","Treated",1,"T03","Week 05",0,0,0,"0","0","0","2018-05-03","TTT"
"273-2018-05-24","273-2018-05-24",273,"2018-05-24",0,1,"1","14","2018-05-03","Treated",1,"T03","Week 06",0,0,0,"0","0","0","2018-05-03","TTT"
"273-2018-05-29","273-2018-05-29",273,"2018-05-29",0,1,"1","41","2018-05-03","Treated",1,"T03","Week 07",0,0,0,"0","0","0","2018-05-03","TTT"
"273-2018-06-07","273-2018-06-07",273,"2018-06-07",0,1,"1","41","2018-05-03","Treated",1,"T03","Week 08",0,0,0,"0","0","0","2018-05-03","TTT"
