"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Strain"
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.125","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.125",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.97","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.97",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.36","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA.36",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.57","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","NA.57",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_NA.23","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","NA.23",""
"Bacteria_Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_NA.18","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","NA.18",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.126","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.126",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus_NA.8","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","Butyricicoccus","NA.8",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.6","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","NA.6",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.130","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.130",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group_NA.30","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","NA.30",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_NA_NA.20","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","NA","NA.20",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.131",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_agilis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","agilis",""
"Bacteria_Verrucomicrobiota_Kiritimatiellae_WCHB1-41_NA_NA_NA.20","Bacteria","Verrucomicrobiota","Kiritimatiellae","WCHB1-41","NA","NA","NA.20",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.128","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.128",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae ND3007 group_NA.12","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae ND3007 group","NA.12",""
"Bacteria_Elusimicrobiota_Elusimicrobia_Elusimicrobiales_Elusimicrobiaceae_Elusimicrobium_NA.1","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium","NA.1",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.58","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","NA.58",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.32","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.32",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4A136 group_NA.14","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4A136 group","NA.14",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.59","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","NA.59",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Parvimonas_NA_NA.2","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Parvimonas","NA","NA.2",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Morganellaceae_Proteus_cibarius/hauseri/mirabilis/penneri/terrae/vulgaris","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","cibarius/hauseri/mirabilis/penneri/terrae/vulgaris",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_NA_NA.98","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","NA","NA.98",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_NK4A214 group_NA.31","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","NA.31",""
"Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium_NA.2","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","NA.2",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.77","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.77",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella_NA.23","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","NA.23",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_distasonis.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","distasonis.2",""
"Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_UCG-004_NA","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","UCG-004","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.12","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA.12",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.33","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.33",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.13","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.13",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_F082_NA_NA.3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","F082","NA","NA.3",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Veillonellaceae_Dialister_NA.5","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","NA.5",""
"Bacteria_Spirochaetota_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_NA.19","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","NA.19",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Tyzzerella_NA.1","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","NA.1",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.127","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.127",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA.29","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA.29",""
"Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_NA.4","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","NA.4",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Candidatus Soleaferrea_NA.6","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Candidatus Soleaferrea","NA.6",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_[Eubacterium] coprostanoligenes group_NA_NA.56","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","NA","NA.56",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_insicii","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","insicii",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_NA_NA.21","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","NA","NA.21",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII AD3011 group_NA.17","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII AD3011 group","NA.17",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_NA.28","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","NA.28",""
"Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_glutamicum","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","glutamicum",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Escherichia-Shigella_NA.24","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella","NA.24",""
"Bacteria_Patescibacteria_Saccharimonadia_Saccharimonadales_Saccharimonadaceae_Candidatus Saccharimonas_NA.5","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Candidatus Saccharimonas","NA.5",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium_NA.13","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","NA.13",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_NA.7","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinifilaceae","Butyricimonas","NA.7",""
"Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Denitrobacterium_NA","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Denitrobacterium","NA",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Blautia_NA.33","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","NA.33",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.68","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.68",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_UCG-001_NA.1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","UCG-001","NA.1",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.79","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.79",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.132","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.132",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.129","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.129",""
"Bacteria_Fusobacteriota_Fusobacteriia_Fusobacteriales_Fusobacteriaceae_Fusobacterium_NA.4","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","NA.4",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillospira_NA.24","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira","NA.24",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Ruminococcus_NA.60","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","NA.60",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.130","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.130",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.80","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.80",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_NA_NA.22","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","NA","NA.22",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_[Eubacterium] nodatum group_NA.8","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group","NA.8",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.128","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.128",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Sutterellaceae_Sutterella_NA.1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","NA.1",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Anaerostipes_NA.7","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","NA.7",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.131",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.108","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.108",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.78","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.78",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.133","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.133",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA.30","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA.30",""
"Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_Christensenellaceae R-7 group_NA.69","Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae R-7 group","NA.69",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.134","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.134",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Murdochiella_NA_NA.7","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Murdochiella","NA","NA.7",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.129","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.129",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.81","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.81",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.109","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.109",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Oxalobacteraceae_Oxalobacter_NA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","NA",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_[Eubacterium] nodatum group_NA.9","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group","NA.9",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.33","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.33",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae UCG-003_NA.31","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003","NA.31",""
"Bacteria_Synergistota_Synergistia_Synergistales_Synergistaceae_Synergistes_jonesii","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Synergistes","jonesii",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.34","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.34",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_NA_NA.79","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","NA","NA.79",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Carnobacteriaceae_Jeotgalibaca_dankookensis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Jeotgalibaca","dankookensis",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.35","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.35",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.110","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.110",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.2","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","NA.2",""
"Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_NA_NA.6","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","NA","NA.6",""
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Brevibacteriaceae_Brevibacterium_luteolum","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","luteolum",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.37","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA.37",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerovoracaceae_Family XIII UCG-001_NA.3","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Family XIII UCG-001","NA.3",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.130","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.130",""
"Bacteria_Firmicutes_Clostridia_Peptostreptococcales-Tissierellales_Anaerococcus_NA_NA.17","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerococcus","NA","NA.17",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_NA_NA.38","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","NA","NA.38",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidales RF16 group_NA_NA.3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidales RF16 group","NA","NA.3",""
"Bacteria_Firmicutes_Clostridia_Monoglobales_Monoglobaceae_Monoglobus_NA.34","Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","NA.34",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter_NA.13","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","NA.13",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotellaceae NK3B31 group_NA.135","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group","NA.135",""
"Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Rothia_endophytica/marina","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","endophytica/marina",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnospiraceae NK4B4 group_NA","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK4B4 group","NA",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG-005_NA.82","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005","NA.82",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Rikenellaceae RC9 gut group_NA.55","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","NA.55",""
"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_NA_NA.23","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","NA","NA.23",""
"Bacteria_Desulfobacterota_Desulfovibrionia_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_NA.10","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","NA.10",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Aerococcaceae_Globicatella_sanguinis/sulfidifaciens","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Globicatella","sanguinis/sulfidifaciens",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum_NA.17","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum","NA.17",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rikenellaceae_Alistipes_NA.3","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","NA.3",""
"Bacteria_Campilobacterota_Campylobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_rodentium","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","rodentium",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Dorea_NA.12","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Dorea","NA.12",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.111","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.111",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_hammesii/parabrevis.1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","hammesii/parabrevis.1",""
"Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium_NA.20","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","NA.20",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Coprococcus_NA.11","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Coprococcus","NA.11",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.112","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.112",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_NA.132","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","NA.132",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.113","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.113",""
"Bacteria_Campilobacterota_Campylobacteria_Campylobacterales_Campylobacteraceae_Campylobacter_NA.12","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","NA.12",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.114","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.114",""
"Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Incertae Sedis_NA.7","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis","NA.7",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.131","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.131",""
"Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_NA.132","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","NA.132",""
"Bacteria_Firmicutes_NA_NA_NA_NA_NA","Bacteria","Firmicutes","NA","NA","NA","NA","NA",""
"Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_NA.36","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","NA.36",""
"Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia_NA.14","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","NA.14",""
"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Succinivibrionaceae_Succinivibrio_NA.4","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","NA.4",""
"Bacteria_Firmicutes_Clostridia_Clostridia UCG-014_NA_NA_NA.115","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","NA","NA","NA.115",""
"Bacteria_Cyanobacteria_Cyanobacteriia_Chloroplast_NA_NA_NA.2","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","NA","NA","NA.2",""
